RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,Position
1,Nikola Jokic,DEN,74,33.50,5.16,6.62,11.78,26.12, C
2,Joel Embiid,PHI,68,33.80,4.31,5.52,9.83,21.16, C
3,Stephen Curry,GSW,64,34.50,5.17,4.31,9.48,20.62, PG
4,Jayson Tatum,BOS,76,35.90,3.22,5.74,8.96,24.17, SF
5,Giannis Antetokounmpo,MIL,67,32.90,6.51,1.67,8.18,20.10, PF
6,Rudy Gobert,UTA,66,32.10,-0.05,8.00,7.95,16.91, C
7,Trae Young,ATL,76,34.90,5.74,1.21,6.95,19.90, PG
8,Chris Paul,PHX,65,32.90,1.74,4.93,6.66,15.76, PG
9,Luka Doncic,DAL,65,35.40,5.59,0.90,6.50,17.16, PG
10,Mike Conley,UTA,72,28.60,0.39,5.84,6.23,13.80, PG
11,Donovan Mitchell,UTA,67,33.80,4.81,1.35,6.16,16.11, SG
12,Jaren Jackson Jr.,MEM,78,27.30,-0.09,6.23,6.14,14.81, PF
13,LeBron James,LAL,56,37.20,5.02,1.07,6.09,15.49, SF
14,Kevin Durant,BKN,55,37.20,3.68,2.39,6.07,14.21, PF
15,Al Horford,BOS,69,29.10,-0.99,6.93,5.94,13.46, C
16,Kristaps Porzingis,WSH,51,29.00,2.51,3.34,5.85,10.12, C
17,Desmond Bane,MEM,76,29.80,0.74,4.69,5.43,14.95, SG
18,Clint Capela,ATL,74,27.60,-2.28,7.66,5.38,12.78, C
19,Fred VanVleet,TOR,65,37.90,1.33,3.89,5.22,15.49, SG
20,Jaylen Brown,BOS,66,33.60,2.08,3.08,5.16,14.13, SG
21,Pascal Siakam,TOR,68,37.90,-0.12,5.24,5.11,16.11, PF
22,Karl-Anthony Towns,MIN,74,33.40,3.08,1.93,5.01,16.25, C
23,Devin Booker,PHX,68,34.50,3.08,1.85,4.93,14.95, SG
24,Darius Garland,CLE,68,35.70,2.17,2.71,4.88,15.11, PG
25,Robert Williams III,BOS,61,29.60,-0.93,5.74,4.82,10.85, C
26,Domantas Sabonis,SAC,62,34.50,0.88,3.93,4.81,12.99, PF
27,D'Angelo Russell,MIN,65,32.00,2.74,2.00,4.74,12.74, PG
28,Dejounte Murray,SAS,68,34.80,2.30,2.44,4.74,15.28, SG
29,James Harden,PHI,65,37.20,3.37,1.25,4.62,14.91, SG
30,Duncan Robinson,MIA,79,25.90,0.75,3.82,4.57,11.75, SG
31,Monte Morris,DEN,75,29.90,-1.34,5.89,4.55,12.51, PG
32,Miles Bridges,CHA,80,35.50,1.16,3.34,4.51,17.04, SF
33,Jae Crowder,PHX,67,28.10,-2.29,6.79,4.50,10.80, PF
34,Bam Adebayo,MIA,56,32.60,-1.19,5.64,4.45,10.38, C
35,LaMelo Ball,CHA,75,32.30,2.67,1.76,4.43,14.36, PG
36,Terry Rozier,CHA,73,33.70,1.83,2.49,4.32,14.62, SG
37,Mitchell Robinson,NYK,72,25.70,-0.74,4.98,4.25,10.58, C
38,Kyle Lowry,MIA,63,33.90,0.63,3.59,4.23,12.06, PG
39,Jimmy Butler,MIA,57,33.90,1.71,2.48,4.19,11.02, SF
40,Jonas Valanciunas,NOP,74,30.30,-0.19,4.29,4.10,12.88, C
41,Nikola Vucevic,CHI,73,33.10,-0.52,4.60,4.08,14.12, C
42,Aaron Gordon,DEN,75,31.70,-1.08,5.16,4.08,12.85, PF
43,Jarrett Allen,CLE,56,32.30,-0.49,4.52,4.03,10.23, C
44,DeMar DeRozan,CHI,76,36.10,1.03,2.85,3.87,15.47, SF
45,Wendell Carter Jr.,ORL,62,29.90,0.52,3.30,3.81,10.30, C
46,Gary Trent Jr.,TOR,70,35.00,-0.85,4.58,3.73,12.76, SG
47,Mikal Bridges,PHX,82,34.80,-1.20,4.91,3.71,15.77, SF
48,Reggie Jackson,LAC,75,31.20,-0.69,4.36,3.67,12.48, PG
49,Andrew Wiggins,GSW,73,31.90,-0.70,4.34,3.64,12.64, SF
50,Shai Gilgeous-Alexander,OKC,56,34.70,2.49,1.13,3.61,10.72, PG
51,Myles Turner,IND,42,29.40,0.38,3.23,3.61,6.39, C
52,Will Barton,DEN,71,32.10,-1.40,4.99,3.59,11.64, SF
53,Jusuf Nurkic,POR,56,28.20,-0.79,4.22,3.43,8.26, C
54,Tyrese Maxey,PHI,75,35.30,-1.31,4.74,3.43,13.33, PG
55,Anthony Edwards,MIN,72,34.30,1.99,1.40,3.38,13.30, SG
56,Ja Morant,MEM,57,33.10,4.33,-1.05,3.28,10.28, PG
57,Tobias Harris,PHI,73,34.80,-1.61,4.77,3.16,12.36, PF
58,Saddiq Bey,DET,82,33.00,-0.79,3.92,3.14,13.50, SF
59,Christian Wood,HOU,68,30.80,1.08,2.06,3.13,11.04, C
60,Paul George,LAC,31,34.70,2.49,0.65,3.13,5.63, SG
61,Evan Mobley,CLE,69,33.80,-3.17,6.28,3.11,11.36, PF
62,Kevon Looney,GSW,82,21.10,-3.70,6.80,3.10,8.08, C
